ACCTAGE,DDA,DDABAL,DEP,DEPAMT,CASHBK,CHECKS,DIRDEP,NSF,NSFAMT,PHONE,TELLER,SAV,SAVBAL,ATM,ATMAMT,POS,POSAMT,CD,CDBAL,IRA,IRABAL,LOC,LOCBAL,INV,INVBAL,ILS,ILSBAL,MM,MMBAL,MMCRED,MTG,MTGBAL,CC,CCBAL,CCPURC,SDB,INCOME,HMOWN,LORES,HMVAL,AGE,CRSCORE,MOVED,INAREA,INS,BRANCH,RES
0.7,1,1986.81,1,446.93,0,1,1,0,0,0,0,0,0,1,268.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,7,87,51,674,0,1,0,B2,R
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,1,8.5,97,60,640,0,1,1,B3,S
12.3,1,1069.78,5,6813.58,0,13,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.62,0,0,19,0,3,107,55,662,0,1,1,B7,U
0.8,1,190.03,3,880.25,0,1,0,1,5.65,,0,1,11.47,1,1582.34,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,1,20,0,4,107,40,642,0,1,0,B14,S
1.6,1,257.13,5,3408.35,0,14,0,1,60.25,,1,1,9.8,1,3807.19,,,1,7500,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,24,1,8.5,95,54,732,0,1,0,B15,U
5.3,0,0,0,0,0,0,0,0,0,,0,1,18116.37,1,11435.3,,,0,0,0,0,0,0,,,0,0,1,12247.31,1,0,0,,,,0,8,1,12.5,76,61,688,0,1,1,B19,R
9,1,1072.55,1,590.25,0,0,0,1,5.78,,1,1,142.98,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,1,91754.86,,,,0,45,1,8.5,111,54,635,0,1,1,B15,R
4,0,0,0,0,0,0,0,0,0,,0,1,15426.87,0,0,,,0,0,0,0,1,7146.89,,,0,0,0,0,0,1,112691.03,,,,0,35,1,3.5,99,46,642,0,1,1,B14,U
,1,998.25,2,1471.81,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,8,129,22,626,0,1,1,B1,S
1.5,0,0,0,0,0,0,0,0,0,,0,1,54086.26,0,0,,,0,0,1,6451.89,0,0,,,0,0,0,0,0,0,0,,,,0,31,0,4,97,53,693,0,0,0,B18,R
13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,1,15010.99,0,0,0,,,,0,13,0,5,94,46,713,0,0,1,B15,S
15.3,0,0,0,0,0,0,0,0,0,,0,1,832.71,1,599.71,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,1,108,1,5.5,128,57,710,0,1,0,B15,S
3.9,1,1396.35,4,3599.73,0,14,1,1,23.45,1,0,0,0,1,949.88,6,349.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4244.01,0,1,81,1,7.5,132,22,631,0,1,0,B1,R
3.9,1,35676.34,2,11578.68,0,6,1,0,0,0,2,0,0,1,32.98,0,0,0,0,0,0,1,16753.76,0,0,0,0,0,0,0,0,0,1,16697.06,0,0,20,1,9,148,45,639,0,1,1,B2,R
3.8,1,4494.62,2,4276.89,0,12,1,0,0,0,0,1,16659.84,1,11.39,0,0,1,12700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,274.81,0,0,233,1,7,216,27,635,0,1,1,B3,R
7,1,5663.56,2,2223.36,0,6,1,0,0,0,0,1,16570.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3.5,118,30,629,0,1,0,B17,R
