ACCTAGE,DDA,DDABAL,DEP,DEPAMT,CASHBK,CHECKS,DIRDEP,NSF,NSFAMT,PHONE,TELLER,SAV,SAVBAL,ATM,ATMAMT,POS,POSAMT,CD,CDBAL,IRA,IRABAL,LOC,LOCBAL,INV,INVBAL,ILS,ILSBAL,MM,MMBAL,MMCRED,MTG,MTGBAL,CC,CCBAL,CCPURC,SDB,INCOME,HMOWN,LORES,HMVAL,AGE,CRSCORE,MOVED,INAREA,INS,BRANCH,RES
0.9,1,462.12,2,1049.57,0,4,0,0,0,0,2,1,9010.4,1,863.11,1,23.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,4,129,73,667,0,1,1,B6,S
0.3,1,5681.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26700,0,0,1,34335.24,0,0,0,0,0,0,0,1,284487.09,1,310836.87,1,0,100,1,2.5,144,48,632,0,1,1,B2,U
4.5,1,1660.44,4,4425.18,0,6,0,0,0,1,1,1,668.2,1,876.77,0,0,0,0,0,0,1,36455.96,0,0,0,0,0,0,0,0,0,1,40530.61,0,0,65,1,5,113,49,693,0,1,0,B17,R
2.8,1,1038.37,3,2191.26,0,4,0,0,0,,4,1,2652.47,1,220.85,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,15,0,4.5,100,29,653,0,1,0,B15,S
6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,1,7.5,141,53,663,0,1,0,B4,S
5.2,1,1074.58,2,1680.89,0,5,0,1,6.35,3,0,1,13987.51,1,1395.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,2.5,113,60,682,0,1,1,B3,S
5.8,1,1047.9,3,4512.92,0,6,0,0,0,,3,0,0,1,1241.78,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,69,0,2,132,45,679,0,1,1,B18,U
8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15067.71,0,0,0,1,2106.7,0,1,,,,,,625,0,1,1,B2,U
3.5,1,11799.23,2,2155.42,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614.35,0,0,121,0,3,166,48,753,1,1,0,B5,R
3.9,1,20504.49,1,7797.01,0,18,0,0,0,0,2,1,3795.14,1,10176.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3192.91,0,0,18,1,6,128,67,708,0,1,0,B3,S
1.3,1,3607.87,1,322.44,0,0,1,0,0,0,0,0,0,1,28.88,0,0,0,0,0,0,0,0,0,0,1,10184.73,0,0,0,0,0,1,28961.49,0,0,,,,,,618,0,1,0,B2,U
,1,1742.31,5,4686.26,0,14,1,0,0,2,0,1,330.84,1,3147.87,0,0,0,0,0,0,0,0,0,0,1,10142.14,0,0,0,0,0,1,5840.18,1,0,,,,,,675,0,1,0,B4,S
2,1,105.08,2,258.7,0,0,0,0,0,0,0,1,4.14,1,333.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10,110,57,660,0,1,0,B1,R
0.5,1,1322.03,6,5063.54,0,10,0,0,0,5,3,1,0,1,2880.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,657,0,1,0,B2,U
26.3,1,1297.25,1,1298.08,0,10,0,0,0,0,5,0,0,0,0,0,0,1,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,379.4,0,0,,,,,,688,0,1,0,B2,U
,1,3463.85,5,12497.31,0,15,1,0,0,0,0,1,885.17,1,10834.5,1,319.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,333956.66,1,330757.22,0,0,105,1,7.5,138,44,635,0,1,1,B7,S
